record_source,record_rank,display_group,timestamp,trade_id,symbol,strategy,status,vehicle,vehicle_selected,contracts,shares,entry,entry_price,entry_premium,current_price,current_premium,exit_price,exit_premium,underlying_price,current_underlying_price,stop,target,take_profit,option_stop,option_target,premium_stop,premium_target,target_premium,take_profit_premium,pnl,realized_pnl,unrealized_pnl,pnl_pct,pnl_basis,price_review_basis,monitoring_price_type,underlying_price_used_for_close_decision,underlying_price_used_for_pnl,option_underlying_leak_blocked,contract_symbol,option_symbol,expiry,expiration,strike,right,bid,ask,last,mark,volume,open_interest,dte,option_contract_score,contract_score,score,fused_score,confidence,final_reason,final_reason_code,reason,close_reason,opened_at,closed_at,trading_mode,mode,regime,breadth,volatility_state,capital_required,minimum_trade_cost,capital_available,execution_position_shape,exit_price_source,selected_for_execution,research_approved,execution_ready,performance_classification,performance_include,include_in_performance,counts_in_performance,needs_review,classification_reason,duplicate_source_note,stale_trade_log_row,journal_warning
open_positions,1,OPEN_POSITIONS,2026-05-05T16:28:35.625195,INTC-CALL-20260505162917,INTC,CALL,OPEN,OPTION,OPTION,1,0,4.25,4.25,4.25,4.6,4.6,0.0,0.0,112.23,112.23,2.7625,6.8,6.8,2.7625,6.8,2.7625,6.8,6.8,6.8,0.0,0.0,35.0,0.0,option_premium_x_100,OPTION_PREMIUM_ONLY,OPTION_PREMIUM,False,False,False,INTC260508C00110000,INTC260508C00110000,2026-05-08,2026-05-08,110.0,CALL,4.5,4.7,4.6,4.6,44000,12070,3,146.0,146.0,923.58,923.58,HIGH,Position entered.,entered,,,2026-05-05T16:31:19.745677,,paper,paper,NEUTRAL,BULLISH,NORMAL,426.0,426.0,16803.21,OPTION_PREMIUM_POSITION,,True,True,True,,False,False,False,False,,,False,
open_positions,1,OPEN_POSITIONS,2026-05-05T16:28:36.283665,MU-CALL-20260505162920,MU,CALL,OPEN,OPTION,OPTION,1,0,20.9,20.9,20.9,22.075,22.075,0.0,0.0,659.9618,659.9618,13.585,33.44,33.44,13.585,33.44,13.585,33.44,33.44,33.44,0.0,0.0,117.5,0.0,option_premium_x_100,OPTION_PREMIUM_ONLY,OPTION_PREMIUM,False,False,False,MU260508C00650000,MU260508C00650000,2026-05-08,2026-05-08,650.0,CALL,21.55,22.6,22.15,22.075,21470,8865,3,135.0,135.0,653.91,653.91,HIGH,Position entered.,entered,,,2026-05-05T16:31:27.582553,,paper,paper,NEUTRAL,BULLISH,NORMAL,2091.0,2091.0,16803.21,OPTION_PREMIUM_POSITION,,True,True,True,,False,False,False,False,,,False,
open_positions,1,OPEN_POSITIONS,2026-05-06T18:18:00.709680,AMD-CALL-20260506181852,AMD,CALL,OPEN,OPTION,OPTION,1,0,7.65,7.65,7.65,9.575,9.575,0.0,0.0,418.69,418.69,4.9725,12.24,12.24,4.9725,12.24,4.9725,12.24,12.24,12.24,0.0,0.0,192.5,0.0,option_premium_x_100,OPTION_PREMIUM_ONLY,OPTION_PREMIUM,False,False,False,AMD260508C00420000,AMD260508C00420000,2026-05-08,2026-05-08,420.0,CALL,9.4,9.75,9.57,9.575,22630,2659,2,140.0,140.0,862.59,862.59,HIGH,Position entered.,entered,,,2026-05-06T18:20:33.784121,,paper,paper,NEUTRAL,BULLISH,NORMAL,766.0,766.0,22048.0,OPTION_PREMIUM_POSITION,,True,True,True,,False,False,False,False,,,False,
closed_positions,2,CLOSED_POSITIONS,2026-03-21T15:00:00,AAPL-CALL-20260416030932,AAPL,CALL,CLOSED,STOCK,STOCK,0,1,267.1,267.1,0.0,266.43,0.0,266.43,0.0,0.0,0.0,265.1,271.1,271.1,0.0,0.0,0.0,0.0,0.0,0.0,-2.01,-2.01,0.0,0.0,stock_price_x_shares,STOCK_PRICE,UNDERLYING,True,True,False,,,,,0.0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,210.0,210.0,HIGH,,,cut_weakness,,2026-04-16T03:09:32.977066,2026-04-16T03:09:33.380927,,AGGRESSIVE_BULL,BULL_TREND,BULLISH,NORMAL,0.0,0.0,0.0,,,False,False,False,,False,False,False,False,,,False,
closed_positions,2,CLOSED_POSITIONS,2026-03-21T15:00:00,MSFT-CALL-20260416032316,MSFT,CALL,CLOSED,STOCK,STOCK,0,1,412.25,412.25,0.0,420.26,0.0,420.26,0.0,0.0,0.0,410.25,416.25,416.25,0.0,0.0,0.0,0.0,0.0,0.0,16.02,16.02,0.0,0.0,stock_price_x_shares,STOCK_PRICE,UNDERLYING,True,True,False,,,,,0.0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,207.0,207.0,HIGH,,,take_profit,,2026-04-16T03:23:17.221185,2026-04-16T22:49:01.559226,,AGGRESSIVE_BULL,BULL_TREND,BULLISH,NORMAL,0.0,0.0,0.0,,,False,False,False,,False,False,False,False,,,False,
closed_positions,2,CLOSED_POSITIONS,2026-03-21T15:00:00,MSFT-CALL-20260416224923,MSFT,CALL,CLOSED,STOCK,STOCK,0,2,421.31,421.31,0.0,417.83,0.0,417.83,0.0,0.0,0.0,419.31,425.31,425.31,0.0,0.0,0.0,0.0,0.0,0.0,-6.96,-6.96,0.0,0.0,stock_price_x_shares,STOCK_PRICE,UNDERLYING,True,True,False,,,,,0.0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,207.0,207.0,HIGH,,,stop_loss,stop_loss,2026-04-16T22:49:24.074365,2026-04-20T16:07:42.152302,,AGGRESSIVE_BULL,BULL_TREND,BULLISH,NORMAL,0.0,0.0,0.0,,,False,False,False,,False,False,False,False,,,False,
closed_positions,2,CLOSED_POSITIONS,2026-05-02T02:03:37.373083,INTC-CALL-20260502020208,INTC,CALL,CLOSED,OPTION,OPTION,1,0,4.35,4.35,4.35,4.35,4.35,0.0,0.0,0.0,0.0,96.63,109.58,109.58,96.63,109.58,96.63,109.58,109.58,109.58,0.0,0.0,0.0,0.0,option_premium_x_100,OPTION_PREMIUM_ONLY,OPTION_PREMIUM,False,False,True,INTC260508C00100000,INTC260508C00100000,2026-05-08,2026-05-08,100.0,CALL,4.3,4.4,4.4,4.35,42798,13346,6,0.0,154.0,1061.8,1061.8,HIGH,Position entered.,entered,take_profit,QUARANTINED_TAKE_PROFIT,2026-05-02T02:03:37.372344,2026-05-02T02:03:39.223281,paper,paper,,,,435.0,436.0,0.0,,quarantined_bad_underlying_like_exit,False,False,False,,False,False,False,False,,,False,underlying_leak_blocked
closed_positions,2,CLOSED_POSITIONS,2026-05-02T02:03:38.116128,QCOM-CALL-20260502020216,QCOM,CALL,CLOSED,OPTION,OPTION,1,0,3.325,3.325,3.325,3.325,3.325,0.0,0.0,0.0,0.0,171.7,194.71,194.71,171.7,194.71,171.7,194.71,194.71,194.71,0.0,0.0,0.0,0.0,option_premium_x_100,OPTION_PREMIUM_ONLY,OPTION_PREMIUM,False,False,True,QCOM260508C00180000,QCOM260508C00180000,2026-05-08,2026-05-08,180.0,CALL,3.25,3.4,3.25,3.325,3800,1098,6,0.0,125.0,507.86,507.86,HIGH,Position entered.,entered,take_profit,QUARANTINED_TAKE_PROFIT,2026-05-02T02:03:38.115488,2026-05-02T02:03:40.686795,paper,paper,,,,332.5,333.5,0.0,,quarantined_bad_underlying_like_exit,False,False,False,,False,False,False,False,,,False,underlying_leak_blocked
closed_positions,2,CLOSED_POSITIONS,2026-05-02T02:22:31.316641,INTC-CALL-20260502022057,INTC,CALL,CLOSED,OPTION,OPTION,1,0,4.35,4.35,4.35,4.35,4.35,0.0,0.0,0.0,0.0,96.63,109.58,109.58,96.63,109.58,96.63,109.58,109.58,109.58,0.0,0.0,0.0,0.0,option_premium_x_100,OPTION_PREMIUM_ONLY,OPTION_PREMIUM,False,False,True,INTC260508C00100000,INTC260508C00100000,2026-05-08,2026-05-08,100.0,CALL,4.3,4.4,4.4,4.35,42798,13346,6,0.0,154.0,1061.8,1061.8,HIGH,Position entered.,entered,take_profit,QUARANTINED_TAKE_PROFIT,2026-05-02T02:22:31.316021,2026-05-02T02:22:34.875837,paper,paper,,,,435.0,436.0,0.0,,quarantined_bad_underlying_like_exit,False,False,False,,False,False,False,False,,,False,underlying_leak_blocked
closed_positions,2,CLOSED_POSITIONS,2026-05-02T02:22:32.974804,AMZN-CALL-20260502022114,AMZN,CALL,CLOSED,OPTION,OPTION,1,0,1.225,1.225,1.225,1.225,1.225,0.0,0.0,0.0,0.0,260.21,295.09,295.09,260.21,295.09,260.21,295.09,295.09,295.09,0.0,0.0,0.0,0.0,option_premium_x_100,OPTION_PREMIUM_ONLY,OPTION_PREMIUM,False,False,True,AMZN260504C00270000,AMZN260504C00270000,2026-05-04,2026-05-04,270.0,CALL,1.2,1.25,1.24,1.225,15367,3065,2,0.0,139.0,360.68,360.68,HIGH,Position entered.,entered,take_profit,QUARANTINED_TAKE_PROFIT,2026-05-02T02:22:32.974238,2026-05-02T02:22:37.099596,paper,paper,,,,122.5,123.5,0.0,,quarantined_bad_underlying_like_exit,False,False,False,,False,False,False,False,,,False,underlying_leak_blocked
